Actual Player Name,Site.Account_Name,Serial Nos
,Kiehl's Eaton Centre 021,US00217745
,Kernels Bayshore F0082,US00217746
,Kernels Upper Canada Mall F0017,US00217798
,7-11 Edmonton 37184,US00217819
,Kernels Oshawa Centre,US00217851
,Kernels West Edmonton Mall F0011,US00217871
,Kiehl's Carrefour Laval 020,US00218207 -->BYTE20160923047
,Kiehl's Eaton Centre 021,US00218239
,Kernels Oakridge Centre C0012 (formerly C0066),US00218364
,Kernels Mayfair,US00218384
,Kernels Mayfair,US00218384
,Kernels Lawson Heights,US00218478
,Kernels Cataraqui Centre,US00218541
,Kernels Vaughan Mills - F0089,US03050604
